"","형상  														 REPO1","파일명","유형","라인 수","파일 크기(Byte)","파일CheckSum","코딩 규칙CheckSum","취약점CheckSum","보안성CheckSum","동적CheckSum","상태"
"","REPO1","\Calculator CSharp-master\Properties\app.manifest","신규","11","645","d6a8d6b8","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\Properties\AssemblyInfo.cs","신규","34","1247","a8e3d900","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\Properties\Resources.Designer.cs","신규","64","3058","b1f84b6f","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\Properties\Resources.resx","신규","117","5496","167a9b05","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\Properties\Settings.Designer.cs","신규","27","1147","54db4b29","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\Properties\Settings.settings","신규","8","242","8a39b868","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\README.md","신규","17","952","59fdc30d","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\static-client.json","신규","8","163","e53a40f8","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\TestHarness.cs","신규","646","24670","21c6250b","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\TestResult.xml","신규","63","5652","f4af7473","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\UpgradeLog.XML","신규","9","824","7d1a61ef","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\UpgradeLog2.XML","신규","35","5806","5720f5f2","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\CRLF_test_vs2015\.STATICFILE","신규","83","2565","beb1068a","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\CRLF_test_vs2015\.vs\CRLF_test_vs2015\v14\.suo","신규","14","31232","29cc3b08","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\CRLF_test_vs2015\ci.ini","신규","143","4465","35903427","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\CRLF_test_vs2015\CRLF_test_vs2015.sln","신규","29","1302","dd604f19","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\CRLF_test_vs2015\CRLF_test_vs2015\CRLF_test.c","신규","25","244","0a4c3547","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\CRLF_test_vs2015\CRLF_test_vs2015\CRLF_test_vs2015.vcxproj","신규","121","5659","c4c4f716","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\CRLF_test_vs2015\CRLF_test_vs2015\CRLF_test_vs2015.vcxproj.filters","신규","22","943","3b71ca88","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\CRLF_test_vs2015\CRLF_test_vs2015\CRLF_test_vs2015.vcxproj.user","신규","4","162","443999d9","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\CRLF_test_vs2015\CRLF_test_vs2015\Debug\CRLF_test.obj","신규","22","6704","f5bdffd7","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\CRLF_test_vs2015\CRLF_test_vs2015\Debug\CRLF_test_vs2015.Build.CppClean.log","신규","6","495","ba6edab8","미수행","미수행","비대상","미수행","불일치"
